Seconds,ECG,pitch,roll,heading,GyrZ,Glide_Controller,Depth,Heart_Rate,Stroke_Rate,Heart_Detected,Stroke_Detected
60781.8,-28.73348,27.20249,-2.529219,-7.808645,-0.04928251,0.1111111,-0.09317443,78.23905,33.91994,0,0
60781.9,-48.89711,27.20249,-2.529219,-7.808645,-0.04928251,0.1111111,-0.09317443,86.07558,33.91994,1,0
60782,-103.8918,27.8197,-4.748223,-13.79628,-0.049085,1.47E-08,-0.09317443,101.7486,33.91994,0,0
60782.1,-106.7641,27.8197,-4.748223,-13.79628,-0.049085,1.47E-08,-0.09317443,101.7486,33.91994,0,0
60782.2,-101.8965,30.77682,-9.444381,-23.60172,-0.05321091,1.47E-08,-0.1338278,101.7486,33.91994,0,0
60782.3,-80.02586,30.77682,-9.444381,-23.60172,-0.05321091,1.47E-08,-0.1338278,101.7486,33.91994,0,0
60782.4,-61.53166,31.84665,-10.25179,-30.87477,-0.06083727,1.47E-08,-0.1202767,101.7486,33.91994,0,0
60782.5,2.340895,31.84665,-10.25179,-30.87477,-0.06083727,1.47E-08,-0.1202767,99.88157,33.91994,1,0
60782.6,-8.381368,31.19926,-9.806892,-37.39526,-0.05177342,1.47E-08,-0.07962329,96.14745,33.91994,0,0
60782.7,1.661207,31.19926,-9.806892,-37.39526,-0.05177342,1.47E-08,-0.07962329,96.14745,33.91994,0,0
60782.8,10.92344,29.4025,-10.86696,-42.72919,-0.02651318,1.47E-08,-0.09317443,96.14745,33.91994,0,0
60782.9,48.14279,29.4025,-10.86696,-42.72919,-0.02651318,1.47E-08,-0.09317443,96.14745,33.91994,0,0
60783,58.74055,28.47532,-12.317,-47.17872,-0.01385013,1.47E-08,-0.09317443,96.14745,33.91994,0,0
60783.1,116.998,28.47532,-12.317,-47.17872,-0.01385013,1.47E-08,-0.09317443,97.91693,33.91994,1,0
60783.2,31.10807,30.08006,-10.60881,-48.22793,-0.001055411,1.47E-08,-0.07962329,101.4559,30.50005,0,0
60783.3,-17.51302,30.08006,-10.60881,-48.22793,-0.001055411,1.47E-08,-0.07962329,101.4559,23.66025,0,1
60783.4,-69.57024,33.68456,-8.713867,-46.0581,0.004507988,1.47E-08,-0.06607214,101.4559,23.66025,0,0
60783.5,-67.89275,33.68456,-8.713867,-46.0581,0.004507988,1.47E-08,-0.06607214,101.4559,23.66025,0,0
60783.6,-68.12735,37.28083,-8.334879,-45.38243,-0.000243396,1.47E-08,-0.03896986,101.4559,23.66025,0,0
60783.7,7.453366,37.28083,-8.334879,-45.38243,-0.000243396,1.47E-08,-0.03896986,100.9492,23.66025,1,0
60783.8,-27.14477,39.59056,-7.0606,-44.04208,0.005780876,1.47E-08,-0.01186757,99.93575,23.66025,0,0
60783.9,-5.022988,39.59056,-7.0606,-44.04208,0.005780876,1.47E-08,-0.01186757,99.93575,23.66025,0,0
60784,13.75156,41.70279,-7.489021,-42.09198,0.002532817,1.47E-08,-0.052521,99.93575,23.66025,0,0
60784.1,33.2631,41.70279,-7.489021,-42.09198,0.002532817,1.47E-08,-0.052521,99.93575,23.66025,0,0
60784.2,35.33682,42.62449,-9.988146,-42.21832,0.001172143,1.47E-08,-0.06607214,99.93575,23.66025,0,0
